STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,NMCC,NMCCNAME
1,Alabama,10602,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10618,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10619,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10619,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10619,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10624,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10627,0,1,0,None Noted
1,Alabama,10642,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10643,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10647,0,1,0,None Noted
1,Alabama,10653,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10653,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10655,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10655,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10657,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10661,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10674,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10676,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10676,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10680,0,1,0,None Noted
1,Alabama,10684,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10689,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10689,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10689,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10691,0,1,0,None Noted
1,Alabama,10691,0,2,0,None Noted
1,Alabama,10701,0,1,0,None Noted
1,Alabama,10702,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10709,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10709,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10712,0,1,0,None Noted
1,Alabama,10722,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10722,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10725,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10725,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10729,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10729,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10735,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10763,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10763,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10763,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10781,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10781,0,2,0,None Noted
1,Alabama,10787,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10790,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10794,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10794,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10810,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10814,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10814,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10815,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10815,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10816,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10816,0,1,9,Wrong-Way Riding or Walking
1,Alabama,10816,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10828,0,1,99,Reported as Unknown
1,Alabama,10877,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10877,0,1,11,"Dash - Run, No Visual Obstruction Noted"
1,Alabama,10877,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
1,Alabama,10880,0,1,0,None Noted
1,Alabama,10881,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
1,Alabama,10881,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
1,Alabama,10883,0,1,0,None Noted
1,Alabama,10883,0,2,0,None Noted
1,Alabama,10895,0,1,2,Failure to Yield Right-Of-Way
1,Alabama,10895,0,1,6,"Inattentive (Talking, Eating, Etc.)"
1,Alabama,10896,0,1,7,Improper Turn/Merge
1,Alabama,10907,0,1,11,"Dash - Run, No Visual Obstruction Noted"
2,Alaska,20005,0,1,99,Reported as Unknown
2,Alaska,20015,0,1,2,Failure to Yield Right-Of-Way
2,Alaska,20015,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
2,Alaska,20025,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
2,Alaska,20029,0,1,2,Failure to Yield Right-Of-Way
2,Alaska,20029,0,1,11,"Dash - Run, No Visual Obstruction Noted"
2,Alaska,20029,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
2,Alaska,20029,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
2,Alaska,20031,0,1,2,Failure to Yield Right-Of-Way
2,Alaska,20031,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
2,Alaska,20033,0,1,2,Failure to Yield Right-Of-Way
2,Alaska,20033,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
2,Alaska,20034,0,1,0,None Noted
2,Alaska,20037,0,1,0,None Noted
2,Alaska,20040,0,1,9,Wrong-Way Riding or Walking
2,Alaska,20052,0,1,0,None Noted
2,Alaska,20054,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
2,Alaska,20060,0,1,0,None Noted
4,Arizona,40004,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40004,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40008,0,1,0,None Noted
4,Arizona,40010,0,1,0,None Noted
4,Arizona,40014,0,1,0,None Noted
4,Arizona,40015,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40019,0,1,0,None Noted
4,Arizona,40020,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40028,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40028,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40037,0,1,5,Entering/Exiting Parked or Stopped Vehicle
4,Arizona,40038,0,1,15,Improper or Erratic Lane Changing
4,Arizona,40042,0,1,11,"Dash - Run, No Visual Obstruction Noted"
4,Arizona,40042,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40043,0,1,11,"Dash - Run, No Visual Obstruction Noted"
4,Arizona,40054,0,1,0,None Noted
4,Arizona,40056,0,1,0,None Noted
4,Arizona,40063,0,1,0,None Noted
4,Arizona,40069,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40071,0,1,0,None Noted
4,Arizona,40076,0,1,11,"Dash - Run, No Visual Obstruction Noted"
4,Arizona,40076,0,2,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40078,0,1,9,Wrong-Way Riding or Walking
4,Arizona,40082,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40083,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40096,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40098,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40102,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40102,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40104,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40104,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40107,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40110,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40118,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40118,0,1,11,"Dash - Run, No Visual Obstruction Noted"
4,Arizona,40119,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40120,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40126,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40126,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40142,0,1,0,None Noted
4,Arizona,40152,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40158,0,1,99,Reported as Unknown
4,Arizona,40162,0,1,0,None Noted
4,Arizona,40162,0,2,0,None Noted
4,Arizona,40163,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40163,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40163,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40168,0,1,0,None Noted
4,Arizona,40172,0,1,99,Reported as Unknown
4,Arizona,40175,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40178,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40178,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40183,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40183,0,1,6,"Inattentive (Talking, Eating, Etc.)"
4,Arizona,40185,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40185,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40190,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40190,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40191,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40194,0,1,99,Reported as Unknown
4,Arizona,40195,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40201,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40204,0,1,0,None Noted
4,Arizona,40206,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40214,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40226,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40227,0,1,0,None Noted
4,Arizona,40227,0,2,0,None Noted
4,Arizona,40230,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40230,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40232,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40232,0,1,11,"Dash - Run, No Visual Obstruction Noted"
4,Arizona,40233,0,1,11,"Dash - Run, No Visual Obstruction Noted"
4,Arizona,40235,0,1,0,None Noted
4,Arizona,40238,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40238,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40248,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40265,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40266,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40266,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40274,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40274,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40278,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40279,0,1,99,Reported as Unknown
4,Arizona,40288,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40290,0,1,0,None Noted
4,Arizona,40290,0,2,0,None Noted
4,Arizona,40290,0,3,0,None Noted
4,Arizona,40290,0,4,0,None Noted
4,Arizona,40290,0,5,0,None Noted
4,Arizona,40290,0,6,0,None Noted
4,Arizona,40290,0,7,0,None Noted
4,Arizona,40290,0,8,0,None Noted
4,Arizona,40290,0,9,0,None Noted
4,Arizona,40290,0,10,0,None Noted
4,Arizona,40290,0,11,0,None Noted
4,Arizona,40290,0,12,0,None Noted
4,Arizona,40290,0,13,0,None Noted
4,Arizona,40290,0,14,0,None Noted
4,Arizona,40290,0,15,0,None Noted
4,Arizona,40290,0,16,0,None Noted
4,Arizona,40290,0,17,0,None Noted
4,Arizona,40290,0,18,0,None Noted
4,Arizona,40295,0,1,0,None Noted
4,Arizona,40299,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40310,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40316,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40317,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40319,0,1,99,Reported as Unknown
4,Arizona,40324,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40325,0,1,7,Improper Turn/Merge
4,Arizona,40336,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40336,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40340,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40340,0,2,0,None Noted
4,Arizona,40340,0,3,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40340,0,4,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40341,0,1,0,None Noted
4,Arizona,40347,0,1,99,Reported as Unknown
4,Arizona,40352,0,1,0,None Noted
4,Arizona,40362,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40367,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40369,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40370,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40374,0,1,0,None Noted
4,Arizona,40376,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40387,0,1,99,Reported as Unknown
4,Arizona,40393,0,1,99,Reported as Unknown
4,Arizona,40394,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40399,0,1,0,None Noted
4,Arizona,40400,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40402,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40402,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40403,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40404,0,1,0,None Noted
4,Arizona,40408,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40410,0,1,0,None Noted
4,Arizona,40419,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40422,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40424,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40426,0,1,21,Other (Specify:)
4,Arizona,40434,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40436,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40437,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40438,0,1,99,Reported as Unknown
4,Arizona,40440,0,1,0,None Noted
4,Arizona,40440,0,2,0,None Noted
4,Arizona,40440,0,3,0,None Noted
4,Arizona,40442,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40442,0,1,11,"Dash - Run, No Visual Obstruction Noted"
4,Arizona,40442,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40443,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40446,0,1,9,Wrong-Way Riding or Walking
4,Arizona,40448,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40449,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40452,0,1,11,"Dash - Run, No Visual Obstruction Noted"
4,Arizona,40456,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40460,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40460,0,1,12,Improper Crossing of Roadway or Intersection (Jaywalking)
4,Arizona,40463,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40464,0,1,0,None Noted
4,Arizona,40467,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40467,0,1,17,Making Improper Entry to or Exit From Trafficway
4,Arizona,40468,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40468,0,1,3,"Failure to Obey Traffic Signs, Signals or Officer"
4,Arizona,40475,0,1,7,Improper Turn/Merge
4,Arizona,40479,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40483,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40489,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40493,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40496,0,1,19,"Not Visible (Dark clothing, No Lighting, etc.)"
4,Arizona,40510,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40513,0,1,4,"In Roadway Improperly (Standing, Lying, Working, Playing, etc.)"
4,Arizona,40514,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40520,0,1,99,Reported as Unknown
4,Arizona,40521,0,1,21,Other (Specify:)
4,Arizona,40526,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40536,0,1,99,Reported as Unknown
4,Arizona,40551,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40553,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40555,0,1,99,Reported as Unknown
4,Arizona,40558,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40563,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40569,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40569,0,2,2,Failure to Yield Right-Of-Way
4,Arizona,40578,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40579,0,1,0,None Noted
4,Arizona,40580,0,1,99,Reported as Unknown
4,Arizona,40590,0,1,2,Failure to Yield Right-Of-Way
4,Arizona,40601,0,1,2,Failure to Yield Right-Of-Way
