ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
62659,0,0,6,23,0,7,0,26,0,0
62660,0,0,0,0,0,0,0,0,0,0
62661,0,0,12,5,0,0,0,0,0,0
62662,0,11,18,0,0,8,0,0,12,0
62663,0,20,0,38,25,3,0,20,24,25
62664,0,0,0,11,0,0,0,0,0,0
62665,13,0,0,30,0,0,0,0,0,0
62666,0,14,0,13,25,13,4,7,15,5
62667,0,0,32,0,0,11,0,9,6,8
62668,0,0,0,0,0,0,0,0,9,0
62669,21,0,0,0,0,0,0,0,0,0
62670,1,1,1,1,1,1,1,1,1,1
62672,0,0,0,19,0,9,0,0,17,0
62673,28,13,10,40,0,19,0,0,0,0
62674,0,0,0,16,27,19,12,0,0,0
62675,18,27,18,55,18,18,18,18,18,18
62676,14,0,0,18,0,0,12,0,0,0
62677,0,0,0,0,0,0,0,0,0,12
62678,0,0,18,0,13,32,21,12,22,15
62679,0,0,0,0,0,0,0,0,0,0
62680,0,0,8,0,0,0,0,0,0,0
62681,5,11,12,0,0,26,0,9,0,0
62682,9,14,9,10,10,19,17,18,19,22
62683,24,20,35,7,14,4,28,19,15,8
62684,0,16,23,10,13,23,0,26,28,19
62685,0,0,0,0,0,0,0,0,0,0
62686,0,0,0,31,0,0,0,24,0,0
62687,11,11,11,11,11,11,11,11,11,11
62688,10,0,0,0,0,0,0,0,0,0
62689,0,0,0,0,0,0,0,0,0,0
62690,0,0,0,0,0,27,0,0,0,0
62691,0,0,0,0,0,0,0,0,0,0
62692,0,0,0,0,0,0,0,0,0,16
62693,5,19,20,27,0,20,31,24,14,19
62694,0,0,0,0,0,0,0,0,0,0
62695,6,6,6,6,6,6,6,6,6,6
62696,0,0,0,0,0,0,0,0,0,0
62697,0,0,0,0,0,0,0,0,0,0
62698,24,0,14,4,22,9,0,0,22,17
62699,17,17,17,29,17,17,17,17,17,17
62700,17,14,12,11,4,10,6,5,14,33
62701,0,21,16,36,16,6,17,22,3,22
62702,0,0,0,0,0,0,0,0,0,0
62703,16,0,40,0,9,12,27,14,7,20
62704,12,11,34,18,26,7,17,38,9,0
62705,12,12,12,12,12,13,12,12,12,12
62706,0,0,9,0,0,0,10,0,0,0
62707,0,0,0,19,4,14,0,0,0,30
62708,0,0,0,0,0,0,0,0,0,0
62709,0,0,0,0,0,0,0,0,0,0
62710,9,9,9,9,9,9,9,9,9,9
62711,20,32,15,0,0,0,0,0,0,0
62712,0,0,0,0,0,0,0,0,0,0
62713,0,16,11,17,5,18,0,0,17,0
62714,0,0,0,0,0,0,0,0,0,0
62715,0,12,33,19,13,11,0,30,31,25
62716,9,0,0,0,4,0,0,0,0,0
62717,0,0,0,0,0,0,0,0,0,0
62718,8,16,14,20,22,12,19,11,17,18
62719,7,0,11,0,21,0,0,0,0,0
62720,26,26,26,26,26,26,26,26,26,26
62721,0,0,0,0,0,0,0,0,0,0
62722,0,0,0,0,10,24,0,0,0,16
62723,18,18,18,18,18,18,18,18,18,18
62724,19,19,19,19,19,19,19,19,19,19
62725,0,0,0,0,0,0,0,0,0,0
62726,8,0,0,0,0,0,0,20,0,11
62727,0,0,0,0,0,0,0,0,0,0
62728,0,0,0,6,0,0,0,0,25,0
62729,0,0,0,0,20,12,0,12,0,0
62730,0,0,0,0,0,0,0,0,0,0
62731,0,0,0,0,0,14,0,19,0,0
62732,0,6,0,0,33,0,0,0,18,19
62733,0,0,14,20,0,0,0,0,0,0
62734,4,24,0,0,0,0,0,0,0,0
62735,0,0,0,0,0,0,0,0,0,0
62736,0,0,0,0,0,0,0,0,0,0
62737,0,18,0,0,0,0,0,0,18,0
62738,0,0,0,0,0,0,0,0,0,0
62739,8,8,8,8,8,8,8,8,8,8
62740,0,0,0,13,0,0,0,0,0,0
62741,15,0,0,0,0,0,0,0,0,0
62742,0,0,0,0,0,0,0,17,7,20
62743,9,15,0,0,11,0,11,0,13,0
62744,0,0,0,0,0,0,0,0,0,0
62745,0,22,0,0,0,24,0,0,15,0
62746,34,16,9,8,0,9,0,0,0,12
62747,12,0,0,0,0,0,0,27,0,12
62748,13,14,4,0,25,15,3,24,8,30
62749,0,0,0,0,0,0,0,0,0,0
62750,28,28,28,28,28,28,28,28,28,28
62751,0,0,0,0,0,0,0,0,0,0
62752,0,0,0,0,0,0,0,0,0,0
62753,7,9,0,0,0,0,22,0,18,19
62754,0,0,0,0,0,0,0,0,0,0
62755,12,12,12,12,12,12,12,12,12,12
62756,0,0,0,0,0,0,0,0,0,0
62757,20,0,0,0,0,0,0,0,0,0
62758,0,6,0,0,0,14,0,0,2,0
62759,10,12,10,11,21,25,21,24,19,24
62760,0,0,0,0,0,0,0,0,0,0
62761,38,38,38,38,38,38,38,38,38,38
62762,10,10,10,10,10,10,10,10,10,10
62763,21,0,0,15,3,0,0,6,0,37
62764,21,21,21,21,21,21,21,21,21,21
62765,33,0,0,0,46,15,15,0,0,0
62766,0,0,0,0,0,0,0,0,0,0
62767,0,0,0,0,0,0,0,0,0,0
62768,18,18,18,18,18,18,18,18,18,18
62769,0,0,0,0,0,0,0,0,0,0
62770,0,0,0,0,0,0,0,0,0,0
62771,0,0,0,0,0,0,0,0,0,0
62772,0,11,0,13,0,13,16,17,5,0
62773,23,0,0,19,0,25,0,23,27,44
62774,0,0,25,29,0,0,0,24,16,26
62775,0,0,0,0,0,0,0,0,0,0
62776,0,15,0,11,0,0,0,0,0,0
62777,0,0,0,0,0,0,0,0,0,0
62778,0,0,0,0,0,0,0,0,0,0
62779,0,0,0,0,0,0,0,0,0,0
62780,0,0,0,19,0,0,40,10,0,0
62781,19,19,19,23,19,19,19,19,19,19
62782,0,0,0,0,0,0,0,0,0,0
62783,0,0,0,0,0,2,0,7,0,0
62784,33,33,33,33,33,33,33,33,33,33
62785,11,14,0,0,0,20,16,34,0,0
62786,0,13,0,0,0,0,0,0,15,0
62787,0,0,0,0,0,0,0,0,0,0
62788,17,17,17,21,17,17,17,17,17,17
62789,15,0,0,24,0,51,17,5,6,15
62790,17,17,17,17,17,17,17,17,17,17
62791,16,16,16,16,16,16,16,16,16,16
62792,0,11,0,0,0,0,0,33,14,19
62793,0,0,0,19,7,0,16,0,0,0
62794,0,0,0,0,0,0,0,0,0,0
62795,0,0,0,0,0,0,0,0,0,0
62796,0,0,0,25,0,0,0,0,20,0
62797,0,0,44,5,7,39,20,0,0,17
62798,20,0,0,0,29,0,0,3,0,0
62799,0,0,18,0,0,20,0,0,22,37
62800,0,0,0,0,13,16,0,0,0,38
62801,10,0,14,0,0,0,0,0,9,0
62802,8,12,15,27,18,16,29,22,23,20
62803,3,29,30,8,15,19,21,38,21,29
62804,40,40,40,40,40,40,40,40,40,40
62805,24,24,24,24,24,24,24,24,24,24
62806,0,0,0,0,0,0,0,0,0,0
62807,25,0,0,0,15,0,21,0,0,0
62808,0,0,13,0,0,0,0,0,0,0
62809,0,30,0,0,35,15,0,0,16,0
62810,0,16,0,0,0,0,0,0,0,12
62811,0,0,0,0,0,0,0,0,0,0
62812,16,16,16,16,16,16,16,31,20,16
62813,33,17,31,0,0,16,20,24,15,0
62814,0,0,0,0,0,0,0,0,0,0
62815,0,0,0,0,0,0,24,26,15,0
62816,0,0,0,0,0,0,0,0,0,0
62817,0,0,0,0,23,0,0,0,0,0
62818,0,0,0,0,0,0,0,0,0,0
62819,3,14,18,8,12,0,16,19,19,16
62820,16,16,16,16,16,16,16,16,16,16
62821,9,9,9,9,9,9,9,9,9,9
62822,15,0,0,0,16,15,14,0,16,0
62823,0,26,0,0,0,18,0,0,0,0
62825,0,0,0,0,0,0,0,0,0,0
62826,9,27,9,9,9,9,9,9,9,9
62827,0,0,0,18,0,0,26,0,0,0
62828,0,0,0,0,0,0,0,0,0,0
62829,22,19,19,20,19,28,19,19,19,19
62830,0,0,6,0,0,0,0,9,0,0
62831,0,0,0,0,0,0,0,0,0,0
62832,0,0,0,0,0,37,0,5,0,0
62833,0,0,0,0,0,0,0,0,0,0
62834,11,0,37,19,14,22,10,9,35,0
62835,8,15,15,12,10,18,6,17,26,12
62836,5,5,5,5,5,5,5,5,5,5
62837,6,16,27,23,12,3,6,31,8,32
62838,10,0,0,0,0,12,0,0,0,0
62839,12,0,0,0,0,0,0,0,0,0
62840,32,0,0,0,0,0,0,0,0,0
62841,0,0,0,0,0,0,0,0,0,0
62842,0,0,0,0,0,0,0,0,0,0
62843,19,19,19,19,19,19,19,19,19,19
62844,2,2,2,2,2,2,2,2,2,2
62845,0,0,14,0,0,0,0,0,0,0
62846,21,0,0,20,27,0,28,0,31,17
62847,0,0,17,0,0,0,0,0,0,0
62848,0,0,0,0,0,0,13,0,0,0
62849,0,0,0,0,0,0,0,0,0,0
62850,10,11,30,25,10,21,21,19,25,17
62851,0,0,0,0,0,0,0,0,0,0
62852,0,0,0,0,0,0,0,0,0,0
62853,0,0,0,0,0,0,0,18,8,17
62854,0,25,0,23,4,0,0,0,0,0
62855,27,0,0,0,0,16,0,0,0,0
62856,39,12,16,12,34,8,49,34,22,24
62857,3,0,21,3,9,16,8,10,15,13
62858,12,15,12,19,14,22,47,14,10,1
62859,0,0,0,20,0,35,0,25,0,0
62860,20,20,20,20,20,20,20,20,20,20
62861,0,0,0,0,0,0,0,0,0,0
62862,41,21,0,39,0,10,30,9,22,30
62863,32,19,19,19,19,19,19,19,19,19
62864,0,0,0,0,0,0,0,0,0,0
62865,0,0,0,0,0,0,0,14,0,22
62866,0,12,0,18,0,0,54,0,0,13
62867,0,0,0,0,0,0,0,0,0,0
62868,19,8,15,11,14,8,12,44,9,8
62869,0,0,0,0,0,0,4,25,0,0
62870,0,0,0,0,0,0,0,0,0,0
62871,0,0,21,18,18,13,0,0,0,0
62872,0,0,0,0,0,0,12,0,0,0
62873,8,8,8,8,8,8,8,8,8,8
62874,9,0,12,14,23,16,33,19,23,12
62875,0,0,16,0,0,0,0,16,0,0
62876,10,10,10,10,10,10,10,10,10,10
62877,22,6,16,26,15,3,32,18,14,15
62878,0,0,0,10,0,27,0,0,0,0
62879,15,0,0,20,0,13,21,0,0,0
62880,14,45,0,0,0,0,13,15,0,0
62881,0,0,0,0,0,0,0,0,8,13
62882,0,0,12,10,23,23,0,0,0,0
62883,0,0,0,0,3,0,0,0,0,0
62884,0,0,0,0,0,0,0,0,0,0
62885,9,9,9,9,9,10,21,22,10,9
62886,0,0,0,0,0,0,0,0,0,0
62887,0,5,0,0,0,17,0,0,14,14
62888,0,0,0,0,0,0,0,0,0,0
62889,16,9,30,20,19,19,10,8,23,15
62890,0,18,28,0,0,0,0,0,0,0
62891,25,25,25,25,25,25,25,25,25,25
62892,0,0,0,0,0,0,0,0,0,14
62893,13,0,12,19,38,15,20,0,2,23
62894,11,0,0,0,11,22,19,10,8,10
62895,0,0,0,0,0,0,0,13,9,14
62897,0,0,0,22,23,26,0,0,0,6
62898,16,0,0,31,0,10,0,0,15,9
62899,31,14,32,0,0,0,18,0,0,0
62900,0,0,0,0,0,0,0,0,0,0
62901,0,0,0,0,0,0,0,0,0,0
62902,0,0,12,0,0,0,0,0,0,29
62903,0,0,0,0,0,0,0,0,0,0
62904,0,0,0,0,0,0,0,0,0,0
62905,0,0,0,0,0,0,0,0,0,0
62906,18,18,18,18,18,18,18,18,18,18
62907,0,0,0,0,0,0,0,0,0,0
62908,17,0,0,0,0,0,0,0,0,0
62909,14,14,0,21,14,1,21,5,8,22
62910,17,17,17,17,17,17,17,17,17,17
62911,0,0,0,0,0,0,0,17,0,0
62912,20,20,20,20,20,20,20,20,20,20
62913,0,5,0,0,0,0,0,0,0,0
62914,13,30,17,11,27,14,11,26,21,9
62915,0,0,0,0,0,0,31,0,0,0
62916,19,19,19,19,19,19,19,19,19,19
62917,0,27,0,0,9,0,0,29,0,10
62918,17,19,31,17,10,40,6,0,0,45
62919,0,0,0,0,0,0,0,0,9,0
62920,0,0,0,0,8,0,0,0,0,0
62921,0,23,0,19,0,16,19,24,4,8
62922,0,0,26,22,0,0,0,0,3,0
62923,0,0,0,0,0,0,0,0,0,0
62924,35,35,35,35,35,35,35,35,35,35
62925,3,19,29,19,11,0,8,0,16,16
62926,0,11,0,0,0,19,0,0,0,0
62927,0,31,0,0,27,16,12,0,0,20
62928,3,3,3,3,3,3,3,3,3,3
62929,0,4,0,0,19,7,0,21,0,30
62930,12,14,26,7,0,0,0,0,0,12
62931,0,7,13,0,10,0,31,0,26,29
62932,0,0,0,0,0,0,0,0,0,0
62933,0,21,0,0,0,0,25,32,0,5
62934,10,0,0,11,0,0,0,10,0,0
62935,16,29,18,27,16,10,13,7,5,3
62936,9,0,18,0,0,0,0,0,0,0
62937,0,0,0,0,0,0,0,0,0,24
62938,21,34,21,21,21,21,21,21,21,21
62939,27,24,24,24,24,24,24,24,24,24
62940,7,7,7,7,7,7,11,7,7,12
62941,0,0,0,0,0,0,0,0,0,0
62942,0,0,0,0,0,0,0,0,0,0
62943,12,0,0,24,32,0,0,0,19,0
62944,0,0,0,0,0,0,0,0,0,0
62945,0,0,0,0,19,0,0,12,0,22
62946,14,21,22,6,10,15,21,13,13,15
62947,12,12,12,12,12,12,12,12,12,12
62948,0,0,0,0,0,0,13,0,12,0
62949,19,19,19,19,19,19,19,19,19,19
62950,0,17,0,0,0,0,15,0,0,0
62951,0,0,13,0,4,26,9,20,4,0
62952,12,27,18,8,18,17,11,20,17,28
62953,25,13,22,18,11,25,6,13,13,26
62954,18,18,18,18,18,18,18,18,18,18
62955,20,20,20,20,20,20,20,20,20,20
62956,0,0,0,0,0,0,0,0,0,0
62957,0,0,0,0,0,0,0,0,0,0
62958,0,0,0,0,0,0,0,0,0,0
62959,9,9,9,9,9,9,9,9,9,9
62960,0,0,0,15,0,0,7,0,0,0
62961,0,0,0,0,0,0,0,0,0,0
62962,0,0,0,0,0,0,0,0,0,0
62963,20,19,18,18,7,13,10,0,10,11
62964,0,11,4,17,15,18,0,0,0,14
62965,10,6,16,25,17,12,31,26,9,23
62966,12,24,13,25,15,13,23,30,9,13
62967,0,16,0,0,0,0,0,0,0,0
62968,0,0,0,0,0,0,0,0,0,0
62969,0,0,0,0,0,0,0,0,0,0
62970,0,0,0,0,0,0,0,0,0,0
62971,24,18,17,0,22,26,27,12,14,0
62972,0,0,0,0,7,0,10,0,15,0
62973,10,31,0,23,0,11,19,0,20,2
62974,18,18,18,18,18,18,18,18,18,18
62975,11,2,14,2,2,2,2,2,2,2
62976,0,0,0,0,0,0,0,0,0,0
62977,0,0,0,0,3,3,30,0,17,0
62978,0,0,0,0,0,0,0,0,0,0
62979,0,28,0,3,0,7,12,29,0,18
62980,0,0,0,0,26,0,0,0,0,0
62981,2,2,2,2,2,2,2,2,2,2
62982,31,18,12,25,67,17,6,18,15,30
62983,15,15,15,15,15,15,15,15,15,15
62984,0,23,0,3,22,0,10,0,0,10
62985,0,0,0,0,0,0,0,0,0,0
62986,3,3,3,3,3,3,3,3,3,3
62987,9,32,9,28,28,7,33,16,12,18
62988,0,0,0,0,0,0,8,0,0,0
62989,0,18,0,0,0,0,0,0,0,0
62990,0,0,13,0,0,0,0,0,0,0
62991,0,0,0,0,0,0,0,0,0,0
62992,20,0,0,0,0,0,0,0,0,0
62993,18,22,44,39,18,30,6,13,19,22
62994,13,13,13,10,0,10,6,0,15,39
62995,0,0,0,0,0,0,0,0,17,0
62996,15,4,4,4,4,4,13,4,5,4
62997,0,0,0,0,0,0,0,0,0,0
62998,42,42,42,42,42,42,42,42,42,42
62999,7,15,0,0,0,0,0,0,0,0
63000,15,22,0,21,42,0,28,0,0,0
63001,0,0,0,15,0,0,0,0,0,0
63002,0,13,29,13,9,23,26,12,12,32
63003,0,0,0,15,8,0,11,0,0,0
63004,0,0,0,0,0,0,0,0,0,0
63005,31,31,31,31,31,31,31,31,31,31
63006,15,39,25,0,0,15,0,0,0,12
63007,11,0,0,0,0,0,29,15,0,0
63008,22,0,0,17,0,0,32,0,0,0
63009,11,21,8,19,13,20,23,24,13,27
63010,0,0,11,0,0,0,0,0,0,0
63011,0,0,0,0,0,0,0,0,0,0
63012,0,15,24,0,0,36,34,0,0,25
63013,22,22,22,22,22,22,22,22,22,22
63014,0,0,12,0,0,0,0,0,0,0
63015,0,0,0,0,0,0,0,0,0,0
63016,9,9,9,9,9,9,9,9,9,9
63017,19,0,0,0,0,0,0,0,34,0
63018,0,3,0,0,0,28,0,0,0,0
63019,30,16,31,6,19,16,20,11,12,21
63020,0,0,0,0,0,0,0,0,0,0
63021,0,0,0,0,0,0,0,0,0,0
63022,12,12,12,12,12,12,12,12,12,12
63023,0,0,0,11,0,0,0,0,0,0
63024,0,0,0,0,0,0,0,0,0,0
63025,3,23,8,25,0,30,25,30,6,5
63026,27,19,20,4,26,12,24,16,27,22
63027,0,0,0,0,0,0,0,0,0,0
63028,10,0,17,0,19,22,5,0,16,22
63029,13,21,26,0,5,0,0,0,13,0
63030,8,25,27,22,23,19,20,21,11,33
63031,0,0,0,0,10,0,0,0,0,0
63032,9,9,9,9,9,9,9,9,9,9
63033,0,22,0,0,13,0,0,0,0,0
63034,30,27,27,27,27,27,27,27,27,27
63035,0,0,21,0,0,7,0,0,0,35
63036,0,4,0,0,0,0,0,0,6,0
63037,0,0,0,0,0,0,0,0,0,0
63038,16,16,16,16,16,16,16,16,16,16
63039,24,0,0,0,10,35,11,0,12,0
63040,32,32,32,32,32,32,32,32,32,32
63041,17,22,9,4,21,10,13,20,15,3
63042,13,13,13,13,13,13,13,13,13,26
63043,24,9,0,31,0,0,32,0,0,0
63044,0,16,0,0,0,13,0,0,0,0
63045,16,16,16,16,16,16,16,16,16,16
63046,0,0,0,0,0,0,0,0,0,0
63047,0,0,0,0,0,0,0,0,0,0
63048,18,13,16,26,13,8,13,15,14,17
63049,0,0,18,14,25,7,18,31,14,17
63050,0,11,7,0,15,0,7,0,0,0
63051,20,22,7,27,18,31,15,0,0,5
63052,8,11,12,18,18,14,19,17,0,0
63053,34,34,34,34,34,34,34,34,34,34
63054,22,31,32,19,15,30,16,14,11,15
63055,0,0,0,0,0,0,0,0,6,0
63056,9,5,18,12,30,35,21,14,28,16
63057,0,12,0,0,2,0,8,0,0,16
63058,0,0,0,0,0,0,0,0,0,0
63059,0,0,0,0,0,0,0,0,0,0
63060,0,0,18,0,0,0,0,0,0,12
63061,13,13,13,13,13,13,13,13,13,13
63062,10,10,10,10,10,10,10,10,10,10
63063,0,0,0,18,0,0,18,0,0,0
63064,28,28,28,28,28,28,28,28,28,28
63065,0,0,23,0,13,0,0,0,21,19
63066,18,18,18,18,18,18,18,18,18,18
63067,0,0,0,0,5,0,9,0,0,0
63068,0,0,0,0,0,0,20,0,0,0
63069,18,0,15,0,0,0,0,12,15,0
63070,0,27,17,0,22,0,0,0,13,0
63071,27,15,7,28,13,21,15,22,20,10
63072,6,0,0,29,0,0,0,11,21,0
63073,0,0,45,0,17,0,18,0,7,0
63074,24,16,14,20,32,29,26,10,28,0
63075,24,24,24,24,24,24,24,24,24,24
63076,0,0,0,0,0,0,0,24,0,0
63077,0,0,0,0,0,0,0,0,0,0
63078,0,21,0,21,20,0,0,0,0,0
63079,12,12,12,12,12,12,12,12,12,12
63080,0,0,0,0,0,0,0,0,0,0
63081,0,0,0,19,0,0,0,23,0,0
63082,0,0,0,0,0,0,0,0,0,0
63083,24,25,0,0,33,23,13,41,31,17
63084,0,0,0,0,0,0,0,0,0,0
63085,0,0,6,22,36,7,36,0,0,10
63086,15,15,15,15,15,15,15,15,15,15
63087,0,24,6,28,0,23,14,0,26,17
63088,0,0,0,0,0,0,0,17,0,0
63089,0,9,20,12,0,0,6,0,0,0
63090,22,0,0,0,0,8,7,16,6,20
63091,24,24,24,24,24,24,24,24,24,24
63092,16,23,26,25,9,22,11,8,10,17
63093,0,0,0,0,0,0,0,0,0,3
63094,24,24,23,5,20,13,0,7,28,15
63095,0,0,0,0,0,0,0,0,0,0
63096,20,0,0,0,0,21,0,25,0,22
63097,18,13,12,12,12,26,7,34,14,11
63098,0,0,0,0,0,0,15,0,0,0
63099,37,37,37,37,37,37,37,37,37,37
63100,0,0,20,0,0,0,0,0,16,0
63101,16,5,0,9,0,0,0,26,0,0
63102,23,23,23,23,23,23,23,23,23,23
63103,19,19,19,19,19,19,19,19,19,19
63104,0,0,0,0,0,0,0,0,0,0
63105,0,0,0,0,0,0,0,0,0,0
63106,2,2,2,2,2,2,2,2,2,2
63107,0,0,0,16,0,0,0,0,0,27
63108,19,19,19,19,19,19,19,19,19,19
63109,0,0,0,0,0,0,0,0,0,0
63110,3,13,14,13,30,15,7,9,19,18
63111,0,0,10,0,0,0,0,0,0,0
63112,4,0,0,0,0,0,0,0,0,0
63113,0,20,28,0,0,17,22,21,0,0
63114,0,0,0,0,0,0,0,0,0,0
63115,0,0,0,0,0,0,0,0,0,0
63116,0,0,0,0,0,0,19,0,0,0
63117,15,0,0,16,0,0,14,14,16,0
63118,10,10,10,10,10,10,10,10,10,10
63119,0,0,16,0,0,0,23,0,0,18
63120,0,0,0,0,0,0,0,0,13,0
63121,0,12,0,0,20,0,0,0,13,0
63122,15,0,15,19,0,18,18,21,19,4
63123,0,0,0,0,0,0,0,0,0,0
63124,0,0,21,17,11,18,0,28,0,0
63125,14,14,14,14,17,14,14,14,14,14
63126,22,0,22,15,15,20,0,0,21,29
63127,0,0,0,0,0,0,0,0,0,0
63128,0,0,0,0,0,0,0,0,11,5
63129,0,26,0,11,0,0,13,0,0,9
63130,16,29,16,36,30,15,15,20,30,20
63131,0,0,12,0,0,0,0,0,16,16
63133,15,18,13,14,20,7,18,12,12,30
63134,13,11,0,5,6,0,0,0,0,16
63135,8,0,19,20,0,0,0,0,11,0
63136,23,0,15,13,15,24,21,17,6,26
63137,23,28,0,0,38,15,0,4,21,0
63138,14,14,14,14,14,14,14,14,14,14
63139,13,18,20,15,29,27,11,13,5,0
63140,8,0,0,0,8,3,0,0,13,10
63141,13,28,17,14,4,13,27,12,12,12
63142,11,12,35,21,0,17,15,9,0,41
63143,0,0,0,0,0,0,14,0,0,0
63144,15,23,11,32,22,0,20,9,11,0
63145,0,0,0,0,0,0,0,0,0,0
63146,13,13,13,13,13,13,13,13,13,13
63147,37,0,0,0,0,0,15,0,0,0
63148,18,8,11,4,3,18,0,32,0,4
63149,12,8,4,21,6,16,22,20,32,13
63150,0,0,0,0,0,0,0,17,0,0
63151,0,0,0,0,0,0,0,0,0,0
63152,13,18,15,11,0,28,10,0,0,3
63153,31,31,31,31,31,31,31,31,31,31
63154,0,0,0,0,0,0,0,0,0,0
63155,0,0,0,0,0,0,0,0,0,0
63156,17,15,15,13,14,15,6,9,13,30
63157,24,7,11,9,9,28,21,27,13,14
63158,0,14,0,0,16,18,0,21,0,34
63159,22,32,17,23,9,31,32,24,27,31
63160,0,0,0,0,0,0,0,0,0,0
63161,29,41,23,24,0,34,0,7,0,0
63162,19,19,19,19,19,19,19,19,19,19
63163,0,11,0,0,0,0,15,0,0,0
63164,24,10,19,23,20,23,10,10,17,13
63165,19,0,12,13,21,15,8,8,18,24
63166,0,0,0,0,0,0,0,0,0,7
63167,0,0,8,0,0,0,0,0,0,7
63168,0,0,0,0,0,0,0,0,0,0
63169,0,0,0,0,0,0,14,0,0,0
63170,0,36,14,36,0,0,0,13,0,0
63171,0,0,0,0,0,0,0,0,0,0
63172,23,11,12,6,5,36,20,17,41,7
63173,0,0,12,0,12,33,0,0,0,0
63174,0,0,0,0,0,0,0,0,15,0
63175,0,0,0,0,0,0,0,0,0,0
63176,30,20,20,20,20,24,20,20,20,36
63177,26,0,6,19,0,0,0,0,0,0
63178,0,0,36,15,0,30,0,13,6,14
63179,0,0,0,25,28,17,9,0,0,13
63180,27,0,18,0,0,24,0,24,0,21
63181,11,11,11,11,11,11,15,11,11,11
63182,14,23,21,30,0,0,29,15,0,20
63183,0,3,0,0,11,13,4,7,0,0
63184,0,0,0,29,0,0,0,16,0,0
63185,28,0,0,0,0,21,0,0,20,0
63186,24,24,24,24,24,24,24,24,24,24
63187,8,0,0,0,0,0,0,0,0,0
63188,0,0,0,0,0,0,0,0,0,0
63189,0,0,0,0,0,0,0,10,0,0
63190,0,0,18,0,0,0,10,0,0,0
63192,8,6,8,8,24,20,16,22,21,8
63193,23,0,0,0,18,29,31,0,11,35
63194,0,0,0,0,0,0,0,0,0,0
63195,0,0,0,0,0,7,0,0,0,0
63196,0,0,0,0,0,0,0,0,0,0
63197,10,15,7,15,14,28,19,0,12,25
63198,0,0,0,0,0,0,0,0,23,0
63199,27,0,12,21,0,14,0,0,0,0
63200,28,28,28,28,28,28,28,28,28,28
63201,0,0,10,16,0,0,18,0,0,0
63202,20,12,20,15,25,32,14,25,14,23
63203,0,0,13,0,19,7,14,28,0,11
63204,0,0,19,0,0,5,0,26,8,0
63205,15,9,0,0,41,4,18,0,14,0
63206,32,32,32,32,32,32,32,32,32,32
63207,0,0,28,8,0,15,19,14,0,10
63208,0,0,0,9,4,0,0,0,3,0
63209,0,19,13,7,0,15,0,0,0,13
63210,8,21,32,13,14,0,24,0,18,12
63211,0,0,0,4,0,0,0,0,0,0
63212,0,0,0,0,0,12,0,0,0,0
63213,7,23,12,5,33,26,12,10,40,21
63214,16,16,16,16,16,16,16,16,16,16
63215,0,0,0,0,0,0,0,6,0,13
63216,0,0,0,0,0,0,0,0,0,5
63217,3,12,0,0,0,0,0,0,0,13
63218,0,0,0,0,0,0,0,0,0,0
63219,12,0,0,0,0,0,0,0,0,0
63220,0,23,10,8,6,14,22,21,16,15
63221,12,12,12,12,12,12,12,12,12,12
63222,0,0,0,0,0,17,0,0,0,0
63223,0,0,0,0,0,0,0,0,0,0
63224,0,0,0,10,0,0,0,0,0,12
63225,0,0,0,0,0,0,7,0,0,5
63226,19,14,18,11,19,18,9,24,9,10
63227,0,26,0,0,5,0,0,15,0,13
63228,28,0,0,18,29,10,19,0,0,0
63229,12,12,12,12,12,12,12,12,12,12
63230,0,0,0,0,0,0,0,0,0,0
63231,16,17,0,0,0,0,0,11,0,0
63232,16,16,16,16,16,16,16,16,16,16
63233,0,12,13,0,16,27,0,10,27,0
63234,17,24,22,0,14,18,10,14,18,17
63235,21,18,20,32,16,24,34,26,17,21
63236,16,44,0,38,0,0,0,0,0,0
63237,18,18,18,18,18,18,18,18,18,18
63238,0,0,0,0,0,0,0,0,0,0
63239,0,0,0,0,0,0,0,0,19,17
63240,22,22,22,22,22,22,22,22,22,22
63241,13,13,24,18,27,20,27,15,14,28
63242,0,0,0,0,0,0,0,18,0,0
63243,26,26,26,26,26,26,26,26,26,26
63244,20,0,18,16,36,26,18,0,0,8
63245,0,0,0,0,0,0,0,0,22,0
63246,11,7,22,0,6,27,17,16,12,36
63247,6,0,13,0,7,0,32,17,13,7
63248,0,24,0,0,0,20,8,4,17,18
63249,0,0,0,0,0,22,0,0,0,0
63250,13,11,16,15,16,21,27,21,36,23
63251,27,13,32,3,24,0,0,0,0,0
63252,14,11,17,0,22,11,8,29,26,4
63253,9,32,0,0,0,9,0,0,0,16
63254,34,0,18,0,6,22,19,18,13,7
63255,14,12,22,22,8,11,25,25,27,35
63256,0,0,0,0,0,0,0,0,0,7
63257,0,0,0,0,0,0,0,0,0,0
63258,25,0,0,14,0,7,0,23,0,0
63259,14,11,0,0,0,0,23,15,17,16
63260,13,0,33,0,0,25,0,11,0,0
63261,29,0,22,13,23,10,21,8,24,6
63262,0,0,0,7,28,0,0,0,17,0
63263,0,9,0,4,0,22,0,23,0,0
63264,23,32,27,0,20,30,5,7,19,10
63265,0,0,0,0,0,0,0,0,0,0
63266,15,15,15,15,15,15,15,15,15,15
63267,0,0,0,0,0,0,0,0,0,0
63268,7,21,6,24,6,3,6,5,0,13
63269,19,0,15,0,0,0,0,0,0,0
63270,33,14,27,11,18,28,7,24,15,34
